1xx - Informational;Indicates an interim response for communicating connection status or request progress prior to completing the requested action and sending a final response.;RFC7231#6.2, RFC2616#10.1;
100 - Continue;Indicates that the initial part of a request has been received and has not yet been rejected by the server.;RFC7231#6.2.1, RFC2616#10.1.1;
101 - Switching Protocols;Indicates that the server understands and is willing to comply with the client's request, via the Upgrade header field, for a change in the application protocol being used on this connection.;RFC7231#6.2.2, RFC2616#10.1.2;
2xx - Successful;Indicates that the client's request was successfully received, understood, and accepted.;RFC7231#6.3, RFC2616#10.2;
200 - OK;Indicates that the request has succeeded.;RFC7231#6.3.1, RFC2616#10.2.1;
201 - Created;Indicates that the request has been fulfilled and has resulted in one or more new resources being created.;RFC7231#6.3.2, RFC2616#10.2.2;
202 - Accepted;Indicates that the request has been accepted for processing, but the processing has not been completed.;RFC7231#6.3.3, RFC2616#10.2.3;
203 - Non-Authoritative Information;Indicates that the request was successful but the enclosed payload has been modified from that of the origin server's 200 (OK) response by a transforming proxy.;RFC7231#6.3.4, RFC2616#10.2.4;
204 - No Content;Indicates that the server has successfully fulfilled the request and that there is no additional content to send in the response payload body.;RFC7231#6.3.5, RFC2616#10.2.5;
205 - Reset Content;Indicates that the server has fulfilled the request and desires that the user agent reset the "document view", which caused the request to be sent, to its original state as received from the origin server.;RFC7231#6.3.6, RFC2616#10.2.6;
206 - Partial Content;Indicates that the server is successfully fulfilling a range request for the target resource by transferring one or more parts of the selected representation that correspond to the satisfiable ranges found in the requests's Range header field.;RFC7233#4.1, RFC2616#10.2.7;
3xx - Redirection;Indicates that further action needs to be taken by the user agent in order to fulfill the request.;RFC7231#6.4, RFC2616#10.3;
300 - Multiple Choices;Indicates that the target resource has more than one representation, each with its own more specific identifier, and information about the alternatives is being provided so that the user (or user agent) can select a preferred representation by redirecting its request to one or more of those identifiers.;RFC7231#6.4.1, RFC2616#10.3.1;
301 - Moved Permanently;Indicates that the target resource has been assigned a new permanent URI and any future references to this resource ought to use one of the enclosed URIs.;RFC7231#6.4.2, RFC2616#10.3.2;
302 - Found;Indicates that the target resource resides temporarily under a different URI.;RFC7231#6.4.3, RFC2616#10.3.3;
303 - See Other;Indicates that the server is redirecting the user agent to a different resource, as indicated by a URI in the Location header field, that is intended to provide an indirect response to the original request.;RFC7231#6.4.4, RFC2616#10.3.4;
304 - Not Modified;Indicates that a conditional GET request has been received and would have resulted in a 200 (OK) response if it were not for the fact that the condition has evaluated to false.;RFC7232#4.1, RFC2616#10.3.5;
305 - Use Proxy;deprecated;RFC7231#6.4.5, RFC2616#10.3.6;
306 - unused;RFC7231#6.4.6, RFC2616#10.3.7;
307 - Temporary Redirect;Indicates that the target resource resides temporarily under a different URI and the user agent MUST NOT change the request method if it performs an automatic redirection to that URI.;RFC7231#6.4.7, RFC2616#10.3.8;
4xx - Client Error;Indicates that the client seems to have erred.;RFC7231#6.5, RFC2616#10.4;
400 - Bad Request;Indicates that the server cannot or will not process the request because the received syntax is invalid, nonsensical, or exceeds some limitation on what the server is willing to process.;RFC7231#6.5.1, RFC2616#10.4.1;
